cid,name,address,architect,artists,built,caption,clergy,consecrated,dedication,denomination,englishname,fax,image,national,phone,titular,type,url
4929,"Santa Maria della Presentazione a Torrevecchia","Via di Torrevecchia 1104",,,2001,,,,"Blessed Virgin Mary (Presentation)","Roman Catholic","St Mary of the Presentation at the Old Tower",,,,,,,
4931,"Santa Maria della Presentazione al Quartaccio","Via Thomas Mann 20",,,2002,,,,"Blessed Virgin Mary (Presentation)","Roman Catholic","St Mary of the Presentation at Quartaccio",,,,,,,
5008,"Santa Maria della Provvidenza a Valle Aurelia","Via degli Embrici 32",,,,,,,"Blessed Virgin Mary","Roman Catholic","St Mary of Providence",,,,,,,
4894,"Santa Maria della Provvidenza alla Fondazione Don Carlo Gnocchi","Via di Casal del Marmo 401",,,"20th century",,,,"Blessed Virgin Mary (Our Lady of Providence)","Roman Catholic","St Mary of Providence of the Foundation of Don Carlo Gnocchi",,,,,,,
3353,"Santa Maria della Purificazione ai Monti","Via delle Sette Sale",,,1600,,,,"Blessed Virgin Mary (Purification of Our Lady)","Roman Catholic","St Mary of the Purification at Monti",,,,,,Demolished,
4517,"Santa Maria della Purificazione in Banchi","Corso Vittorio Emanuele (in roadway at junction with Via di Banco di Santo Spiritu)",,,Mediaeval,,,,"Blessed Virgin Mary (Purification of Our Lady)","Roman Catholic","St Mary of the Purification of the Bridge",,,,,,Demolished,
4465,"Santa Maria della Purità in Borgo",,,,"16th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary of Purity in the Borgo",,,,,,,
2082,"Santa Maria della Quercia","Piazza della Quercia 27",,,1727,,,,"Blessed Virgin Mary","Roman Catholic","St Mary of the Oak Tree",,,,,,,
4501,"Santa Maria della Riforma","Via della Consulta",,,"1735; 1889 as chapel",,,,"Blessed Virgin Mary","Roman Catholic","St Mary of Reform",,,,,,Deconsecrated,
4782,"Santa Maria della Salute","Via Tommaso De Vio 5",,,1960,,,,"Blessed Virgin Mary","Roman Catholic","St Mary of Health",,,,,,,
3356,"Santa Maria della Sanità","Piazza di Viminale",,,"17th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary of Health",,,,,,Demolished,
2083,"Santa Maria della Scala","23 Piazza della Scala",,,1593-1610,,"Discalced Carmelite friars",,"Blessed Virgin Mary","Roman Catholic","Our Lady of the Staircase",,,,,Diaconate,,
4979,"Santa Maria della Speranza a Pratolungo","Via Urzulei",,,"20th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary of Hope at Pratolungo",,,,,,,
5010,"Santa Maria della Speranza a Val Melaina","Via Cocco Ortu 19",,,1995,,,,"Blessed Virgin Mary","Roman Catholic","St Mary of Hope",,,,,,,
3359,"Santa Maria della Visitazione a Collatino","Via dei Crispolti 142",,,1971,,,,"Blessed Virgin Mary (Visitation)","Roman Catholic","St Mary of the Visitation at Collatino",,,,,,,
3360,"Santa Maria della Visitazione all'Aurelio","Via di Torre Rossa 21",,,"20th century",,,,"Blessed Virgin Mary (Visitation)","Roman Catholic","St Mary of the Visitation at Aurelio",,,,,,,
2063,"Santa Maria della Vittoria","17 Via XX Settembre","Carlo Maderno","See text",1603,,,,"Blessed Virgin Mary","Roman Catholic Church","Our Lady of Victory",,"Santa Maria della Vittoria exterior.jpg",No,,"Sean Cardinal O'Malley",,
3364,"Santa Maria delle Grazie a Casal Boccone","Via Luigi Carrer 43",,,2010,,,,"Blessed Virgin Mary (Our Lady of Graces)","Roman Catholic","St Mary of Graces at Boccone Farm",,,,,,,
3372,"Santa Maria delle Grazie a Porta Angelica","Via di Porta Angelica (south corner at junction with Borgo Angelico)",,,"Early 17th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary of Graces at the Angelic Gate",,,,,,"Deconsecrated and demolished",
4445,"Santa Maria delle Grazie al Foro Romano","Via della Consolazione 4",,,"15th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary of Graces at the Roman Forum",,,,,,Deconsecrated,
4412,"Santa Maria delle Grazie al Trionfale","Piazza Santa Maria delle Grazie 5",,,1941,,,,"Blessed Virgin Mary (Our Lady of Graces)","Roman Catholic","St Mary of Graces at Trionfale",,,,,,,
3370,"Santa Maria delle Grazie alle Fornaci","Piazza di Santa Maria alle Fornaci 30",,,"Late 17th century",,,,"Blessed Virgin Mary (Our Lady of Graces)","Roman Catholic","St Mary of the Graces at the Furnaces",,,,,,,
4448,"Santa Maria delle Grazie nel Cimitero in Laterano","Ospedale delle Donne, Via di San Giovanni in Laterano",,,"19th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary of Graces in the Lateran Cemetery",,,,,,Deconsecrated,
3371,"Santa Maria delle Lauretane","Via di San Giovanni in Laterano 33",,,1739,,,,"Blessed Virgin Mary (Our Lady of Loreto)","Roman Catholic","St Mary of the Laurel Places",,Maria_delle_Lauretane.jpg,,,,,
3343,"Santa Maria dell’Olivo","Via Rubellia 7",,,1923,,,,"Blessed Virgin Mary","Roman Catholic","St Mary of the Olive Tree",,,,,,,
3344,"Santa Maria dell’Orazione a Setteville","Via Anticoli Corroda 80, Setteville Guidonia",,,2002,,,,"Blessed Virgin Mary","Roman Catholic","St Mary of Prayer at Setteville",,,,,,,
3602,"Santa Maria dell’Oriente","Via Ollastra Simaxis",,,"20th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary of the East",,,,,,,
5003,"Santa Maria dell’Orto dell’Istituto Antonio Maria Gianelli","Via Mirandola 15",,,"20th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary of the Garden of the Institute of Anthony Mary Gianelli",,,,,,,
3114,"Santa Maria di Grottapinta","Via di Grotta Pinta 21",,,1599,,,,"Blessed Virgin Mary","Roman Catholic","St Mary of the Painted Cave",,,,,,Deconsecrated,
5028,"Santa Maria di Loreto a Boccea","Via di Boccea 1417",,,"20th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary of Loreto in the Box Wood",,,,,,,
3368,"Santa Maria di Loreto a Castelverde","Via Santa Maria di Loreto 9, Castelverde di Lunghezza",,,"Mid 20th century, 21st century",,,,"Blessed Virgin Mary (Our Lady of Loreto)","Roman Catholic","St Mary of Loreto at Greencastle",,,,,,,
4634,"Santa Maria di Loreto al Foro Traiano","26 Piazza Madonna di Loreto  00187 Roma","Antonio da Sangallo the Younger, Jacopo del Duca","Andrea Sansovino, Cesare Mariani",1507,,Diocesan,,"Blessed Virgin Mary","Roman Catholic Church","Our Lady of Loreto",,,,"06 67 92 235",,,
3420,"Santa Maria di Nazareth","Via di Boccea 590",,,"1960, 2015",,,,"Blessed Virgin Mary","Roman Catholic","St Mary of Nazareth",,,,,,,
3421,"Santa Maria di Porcareccia","Piazza del Castello di Porcareccia 1 (within the castle)",,,"17th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary of Porcareccia",,,,,,,
2048,"Santa Maria in Aquiro","Via della Guglia 69/B",,,1588-1774,,,,"Blessed Virgin Mary","Roman Catholic","St Mary in ""Aquiro"" (meaning unknown)",,,,,,,
2021,"Santa Maria in Aracoeli","4 Piazza del Campidoglio  00186 Roma",,"Carlo Rainaldi<nowiki>, Andrea Sansovino, Andrea Bregno et al.</nowiki>",,,,,"Blessed Virgin Mary","Roman Catholic Church","Our Lady at the Heavenly Altar",,Maria_in_Aracoeli.jpg,,"06 69 76 38 38","Salvatore De Giorgi","Titular church",
3442,"Santa Maria in Cacaberis","Via di Santa Maria dè Calderari",,,Mediaeval,,,,"Blessed Virgin Mary","Roman Catholic","St Mary in the Copper Pot",,,,,,,
2051,"Santa Maria in Campitelli","9 Piazza di Campitelli00186 Roma","Carlo Rainaldi","Melchior Cafà, Il Baciccia","1659- 1667",,,,"Blessed Virgin Mary","Roman Catholic Church","Our Lady at Campitelli",,,,06-68.80.39.78,"Cardinal Montezemolo","Titular church",
3443,"Santa Maria in Campo Carleo","Via Alessandrino",,,"Mediaeval, 16th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary in Charles's Field",,,,,,Demolished,
4618,"Santa Maria in Campo Marzio","45 Piazza Campo Marzio 00186 Roma","Giacomo della Porta, Giovanni Antonio de Rossi",,,,,,"Blessed Virgin Mary",,"Our Lady of the (Immaculate) Conception in the Campo Marzio",,,,,,"National church","(06 67 87 021)"
2052,"Santa Maria in Cappella","Vicolo di Santa Maria in Cappella 6",,,"1090, 1860",,,,"Blessed Virgin Mary","Roman Catholic","St Mary in Cappella (uncertain meaning)",,Maria_in_Capella.jpg,,,,,
3444,"Santa Maria in Carinis","Via del Colosseo 61a",,,"18th century","The lintel of the convent's entrance door incorporated into a modern entrance.",,,"Blessed Virgin Mary","Roman Catholic","St Mary in Carinis",,Santa_Maria_in_Carinis.jpg,,,,Deconsecrated,
3424,"Santa Maria in Celsano","Piazza Santa Maria di Galeria 2",,,"11th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary in Celsano",,,,,,,
2055,"Santa Maria in Cosmedin","Piazza Bocca della Verità ",,,,,,,"Blessed Virgin Mary","Roman Catholic Church","Our Lady ""in Beauty""",,,,,,,
2023,"Santa Maria in Domnica","10 Piazza Navicella  00184 Roma","Andrea Sansovino","Pierino del Vaga, Giulio Romano","9th century",,,,"Blessed Virgin Mary","Roman Catholic Church","Our Lady in that which belongs to the Lord",,S.m.domenica.2.JPG,,"06 77 07 67 94","Cardinal Levada","Minor basilica","http://www.santamariaindomnica.it Official Site"
3445,"Santa Maria in Macello Martyrum","Via di Fori Imperiali (in roadway by Colonnacce)",,,Mediaeval,,,,"Blessed Virgin Mary (Our Lady of the Angels)","Roman Catholic","St Mary at the Slaughter of the Martyrs",,,,,,Demolished,
4605,"Santa Maria in Monserrato degli Spagnoli","Via de Monserrato/ Via Giulia 151  00186 Roma","Antonio Sangallo the Younger",,1518,,,,"Blessed Virgin Mary","Roman Catholic Church","Our Lady of Montserrat of the Spaniards",,,Spanish,"06 68 89 651","Cardinal Vallejo O.F.M.","Titular church National church",
2071,"Santa Maria in Monterone","75 Via Monterone00186 Roma",,,"17th century",,,,"Blessed Virgin Mary","Roman Catholic Church","Our Lady at Monterone",,,,,,,
2072,"Santa Maria in Montesanto","197 Via del Babuino 00187 Roma","Carlo Rainaldi, Gian Lorenzo Bernini, Carlo Fontana",,1675,,,,"Blessed Virgin Mary","Roman Catholic Church","Our Lady at Montesanto",,,,"06 36 10 594",,"Minor basilica",
2070,"Santa Maria in Monticelli","28 Via di Santa Maria in Monticelli   00186 Roma",,,"1101, rebuilt in 18th and 19th cent.",,,,"Blessed Virgin Mary","Roman Catholic Church","Our Lady at Monticelli",,,,"06 68 80 22 92",,,
3446,"Santa Maria in Posterula","Piazza di Ponte Umberto",,,Mediaeval,,,,"Blessed Virgin Mary","Roman Catholic","St Mary in the Postern Gate",,,,,,Demolished,
3452,"Santa Maria in Publicolis","Via in Publicolis","Giovanni Antonio de Rossi",,1643,Exterior,,,"Blessed Virgin Mary (Our Lady's Birthday)","Roman Catholic","St Mary of the Publicoli",,Maria_in_Publicolis.jpg,,,,,
4512,"Santa Maria in San Giovannino","Via del Moretto",,,"16th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary in Little St John",,,,,,Demolished,
3447,"Santa Maria in Tempulo","Via Valle di Carmine",,,"Mediaeval, from 11th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary at Tempulo",,,,,,Deconsecrated,
1792,"Santa Maria in Traspontina","14 Via della Conciliazione 00193 Roma","Giovanni Sallustio Peruzzi",,"From 1566, replacing older church",,,,"Blessed Virgin Mary","Roman Catholic","Our Lady across the Bridge","06 68 80 33 15",,"Denmark (Chapel of St Knud)","06 68 80 64 51","Cardinal Marc Ouellet, P.S.S.,",,
2086,"Santa Maria in Trastevere","Via della Paglia 14/C/ Piazza Santa Maria in Trastevere <BR>00153 Roma","Carlo Fontana","Pietro Cavallini, Domenichino","4th century, restored in 12th and 19th centuries.",,Diocesan,,"Blessed Virgin Mary","Roman Catholic Church","St Mary in Trastevere",06-58.96.460,"Santa Maria in Trastevere.jpg",,06-58.19.443,"Cardinal Glemp","Minor basilica",
2062,"Santa Maria in Trivio","Piazza dei Crociferi 49  00187 Roma","Jacopo del Duca","Antonio Gherardi, Giovanni Antonio Grimaldi","6th cent., rebuilt 16th cent.",,,,"Blessed Virgin Mary","Roman Catholic Church","Our Lady at the Crossing of Three Roads",,,,"06 67 89 645",,,
2088,"Santa Maria in Via","Via del Mortaro 24 (Largo Chigi)00187 Roma","Francesco da Volterra, Carlo Lombardi",,1491-1513,,"Servite Order",,"Blessed Virgin Mary","Roman Catholic Church","Our Lady in the Street","06 67 96 760",,,"06 67 93 841",,"Titular church",
2089,"Santa Maria in Via Lata","306 Via del Corso   00186 Rome","Pietro da Cortona","Cosimo Fancelli",,,,,"Blessed Virgin Mary","Roman Catholic Church","Our Lady at Via Lata",,,,"06 83 39 62 76","Edward Idris Cassidy","Titular church, Minor basilica",
4443,"Santa Maria in Vincis","Via di Monte Caprino",,,"11th century, 17th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary in Chains",,,,,,Demolished,
2061,"Santa Maria sopra Minerva","35 Via del Beato Angelico / 42 Piazza della Minerva","Fra Sisto and Fra Ristoro of Arezzo, Carlo Maderno",,"8th century? Present church c. 1280",,,,"Blessed Virgin Mary","Roman Catholic","Our Lady above Minerva",,,No,,"Vacant (+Cormac Cardinal Murphy-O'Connor)",,
3473,"Santa Marta al Collegio Romano","Piazza del Collegio Romano",,,1673,,,,Martha,"Roman Catholic","St Martha at the Roman College",,2011_Marta_a_Collegio_Romano.jpg,,,,Deconsecrated,
3474,"Santa Marta in Vaticano","Piazza Santa Marta (west side) <BR>00120 Città del Vaticano","<nowiki>Giovanni Antonio de Ross, Carlo Fontana, Luigi Poletti</nowiki>","Il Baciccio","16th century",,,,"St Martha of Bethany","Roman Catholic Church","St Martha",,,,,,"Deconsecrated and demolished",
3485,"Santa Melania Juniore","Via Eschilio 100/E",,,1986,,,,"Melania the Younger","Roman Catholic","St Melania the Younger",,,,,,,
3489,"Santa Monica al Lido di Ostia","Piazza di Santa Monica 1",,,1972,,,,Monica,"Roman Catholic","St Monica at the Lido of Ostia",,,,,,,
4700,"Santa Monica degli Agostiniani","Piazza del Sant'Uffizio",,,1941,,,,Monica,"Roman Catholic","St Monica of the Augustinians",,,,,,,
3645,"Santa Orsola della Pietà","Corso Vittorio Emanuele (roadway at west end, by bridge)",,,"16th century",,,,Ursula,"Roman Catholic","St Ursula of Piety",,,,,,"Deconsecrated and demolished",
5186,"Santa Paola Frassinetti","Via Ettore Janni 31",,,1990,,,,"Paula Frassinetti","Roman Catholic","St Paula Frassinetti",,,,,,,
3682,"Santa Paola Romana","Via Duccio Galimberti 9",,,1951,,,,Paula,"Roman Catholic","St Paula the Roman",,,,,,,
3685,"Santa Passera","Via di Santa Passera 1",,,"2nd century; 7th century; c1400",,,,"Cyrus and John (''Passera'' is a nickname)","Roman Catholic","Holy Hen Sparrow",,,,,,,
2066,"Santa Prassede","9/a Via de Santa Prassede/ Via San Martino ai Monti 00184 Roma","Martino Longhi the Elder","Domenico Muratori et al.","8th century, enlarged in 9th century",,"Vallumbrosian Benedictine",,"St Praxedes","Roman Catholic Church","St Praxedes",,"Santa Prassede facade.jpeg",,"06 48 82 456","Paul Poupard","Minor basilica. Station church",
2115,"Santa Prisca","11 Via di Santa Prisca  00153 Roma",,"Domenico Cresti","Early 12th cent.","Exterior of Santa Prisca",,,Prisca,"Roman Catholic Church","St Prisca",,Exterior_Santa_Prisca,,"(06) 57 43 798","Cardinal Rigali","Titular church",
1850,"Santa Pudenziana","160 Via Urbana  00184 Roma","Francesco da Volterra, Antonio Manno","Bernardino Nocchi, Pomerancio, Giacomo della Porta et al.","4th cent., altered in 1588",,"Diocesan clergy",,Pudentiana,"Roman Catholic Church","St Pudentiana",,Pudenziana.jpg,"The Philippines","06 48 14 622","Joachim Meisner","Titular church",
3658,"Santa Restituta al Casale del Cavaliere","Via delle Tenuta del Cavaliere, Lunghezza",,,"17th century",,,,Restituta,"Roman Catholic","St Restituta at Cavaliere Farm",,,,,,,
2118,"Santa Rita da Cascia","8 Via Montanara - 00186 Rome","Carlo Fontana",,"11th century, reconstructed 1937",,,,"St Rita of Cascia","Roman Catholic Church","St Rita of Cascia",,,,,,,
3432,"Santa Rita da Cascia a Casalotti","Vicolo Casalotti 3",,,"20th century",,,,"Rita of Cascia","Roman Catholic","St Rita of Cascia at Casalotti",,,,,,,
3712,"Santa Rita da Cascia a Monte Mario","Via Antonino Parato 5",,,1956,,,,"Rita of Cascia","Roman Catholic","St Rita of Cascia at Mount Marius",,,,,,,
3713,"Santa Rita da Cascia a Torre Angela","Via Acquaroni 71",,,1985,,,,"Rita of Cascia","Roman Catholic","St Rita of Cascia at the Angel Tower",,,,,,,
3315,"Santa Rita da Cascia alle Vergini","Via dell'Umiltà 83b","Francesco Peparelli",,1634,,,,"Rita of Cascia","Roman Catholic","St Rita of Cascia at the Virgins",,Maria_delle_Vergine.jpg,,,,,
3903,"Santa Rita da Cascia in Campitelli","8 Via Montanara - 00186 Rome","Carlo Fontana",,"11th century, reconstructed 1937","The stonework of the façade is original.",,,"St Rita of Cascia","Roman Catholic Church","St Rita of Cascia",,Rita_di_Cascia_(rebuilt).jpg,,,,,
3720,"Santa Rosa da Viterbo","Via Santa Giovanna Elisabetta 53",,,1995,,,,"Rose of Viterbo","Roman Catholic","St Rose of Viterbo",,,,,,,
3721,"Santa Rosalia all'Acquafredda","Via di Acquafredda",,,?,,,,Rosalia,"Roman Catholic","St Rosalia at Cold Water",,,,,,,
2067,"Santa Sabina","1 Piazza Pietro d'Illiria",,,"5th century",,"Friars Preacher (Dominicans)",,"St Sabina","Roman Catholic Church","St Sabina at the Aventine",,RomaSSabinaEsterno.JPG,,,"Jozef Tomko","Titular church",
3664,"Santa Serena","Via Santa Serena, Schizzanello",,,"Later 20th century",,,,Serena,"Roman Catholic","St Serena",,,,,,,
3740,"Santa Silvia","Via Giuseppe Sirtori 2",,,1968,,,,"Sylvia of Rome","Roman Catholic","St Sylvia",,,,,,,
2134,"Santa Sofia a Via Boccea","478 Via Boccea",,,1967&ndash;1968,,,1968,"Holy Wisdom","Ukrainian Greek Catholic Church","Holy Wisdom at Via Boccea",,,,,1985&ndash;,,
1451,"Santa Susanna","14 Via XX Settembre (Piazza San Bernardo)","Carlo Maderno","Stefano Maderno, Baldassare Croce, Cesare Nebbia","330, present church 1593 to 1603",,"None -church is closed down.",,Susanna,"Roman Catholic","St Susanna",,"Santa Susanna facade01.jpg",,,"Bernard Francis Law","Former national church",http://www.santasusanna.org/
4462,"Santa Tecla","Via dei Penitenzieri 13",,,1675,,,,Thecla,"Roman Catholic","St Thecla",,,,,,,
4529,"Santa Teresa a Monserrato","Via di Monserrato 25",,,"18th century",,,,"Teresa of Avila","Roman Catholic","St Teresa at the Jagged Mountain",,,,,,Deconsecrated,
3105,"Santa Teresa alle Quattro Fontane","Via XX Settembre (east of junction with Via Quattro Fontane)",,,"17th century",,,,"Teresa of Jesus","Roman Catholic","St Teresa at the Four Fountains",,,,,,,
2147,"Santa Teresa d'Avila","Corso d'Italia 37",,,1902,,,,"Teresa of Jesus","Roman Catholic","St Teresa of Avila",,,,,,,
4653,"Santa Teresa del Bambin Gesù a Casal Fattoria","Largo Christian Doppler 5",,,2010,,,,"Teresa of the Child Jesus","Roman Catholic","St Teresa of the Child Jesus at Factory Farm",,,,,,,
3673,"Santa Teresa del Bambin Gesù a Lido di Ostia","Via degli Aldobrandini 37",,,"20th century",,,,"Teresa of Jesus","Roman Catholic","St Teresa at the Lido of Ostia",,,,,,,
3751,"Santa Teresa del Bambin Gesù al Gianicolo","Via di San Francesco di Sales 61",,,1925,,,,"Teresa of the Child Jesus","Roman Catholic","St Teresa of the Child Jesus on the Janiculum",,Teresa_di_Bambin_Gesu.jpg,,,,Deconsecrated,
4941,"Santa Teresa del Bambin Gesù alla Borgata Alessandrina","Viale Alessandrino 673",,,1932,,,,"Teresa of Lisieux","Roman Catholic","St Teresa of the Child Jesus at Borgo Alessandrina",,,,,,,
3752,"Santa Teresa del Bambin Gesù in Panfilo (Catacomba di San Panfilo)","Via Gaspare Spontini 17",,,1932,,,,"Teresa of the Child Jesus","Roman Catholic","St Teresa of the Child Jesus in Panfilo",,,,,,,
3674,"Santa Teresa delle Suore Carmelitane Missionarie Teresiane","Via Vincenzo Monti 31/B",,,"20th century",,,,"Teresa of Jesus","Roman Catholic","St Teresa of the Teresian Carmelite Missionary Sisters",,,,,,,
3753,"Santa Teresa di Calcutta a Ponte di Nona","Via Guido Fiorini 12",,,"2005 (temporary building), 2016 (permanent church).",,,,"Teresa of Calcutta","Roman Catholic","St Teresa of Calcutta",,,,,,,
4528,"Santa Teresa e San Giovanni della Croce","Piazza del Monte di Pietà",,,"17th century (building), 18th century (church furnishings)",,,,"Teresa of Avila, John of the Cross","Roman Catholic","St Teresa and St John of the Cross",,,,,,,
3646,"Sante Orsola e Caterina","Via del Teatro di Marcello (opposite main entrance of Tor de' Specchi)",,,"12th century?",,,,"Ursula and Catherine of Alexandria","Roman Catholic","SS Ursula and Catherine",,,,,,,
3688,"Sante Perpetua e Felicita","Via Mentore Maggini 51",,,"Later 20th century",,,,"Perpetua and Felicity","Roman Catholic","SS Perpetua and Felicity",,,,,,,
5029,"Sante Rufina e Seconda a Porcareccina","Via di Boccea 1115",,,1700,,,,"Rufina and Secunda","Roman Catholic","SS Rufina and Secunda at Porcareccina",,,,,,,
5031,"Sante Rufina e Seconda in Trastevere","Via della Lungaretta 92",,,"12th century, remodelled 1611",,,,"Rufina and Seconda","Roman Catholic","SS Rufina and Seconda in Trastevere",,,,,,,
1920,"Santi Andrea e Bartolomeo","Via S. Stefano Rotondo (Via S. Giovanni in Laterano 280a) 00184 Roma",,,,,,,"The Apostles Andrew and Bartholomew","Roman Catholic Church","Sts Andrew and Bartholomew",,,,,,,
4513,"Santi Andrea e Francesco da Paola delle Fratte","Via di Sant'Andrea delle Fratte",,,"16th century?",,,,"Andrew, Francis of Paola","Roman Catholic","SS Andrew and Francis of Paola of the Thicket",,,,,,,
1922,"Santi Angeli Custodi","1 Via Alpi Apuane 00141 Roma","Gustavo Giovannoni",,1925,,Caracciolini,,"Guardian Angels","Roman Catholic","Holy Guardian Angels","06 86 89 94 37",,,"06 86 89 94 80","Agostino Cacciavillan","Parish church",
4419,"Santi Antonio e Annibale Maria","Piazza Asti 10",,,1948,,,,"Anthony of Padua and Hannibal-Mary de Francia","Roman Catholic","St Anthony of Padua on the Via Tuscolana",,,,,"Jean Zerbo",,
1931,"Santi Apostoli","Piazza dei Santi Apostoli 51   00187 Rome","Baccio Pontelli Carlo Rainaldi et.al.","Antonio Canova Arnolfo di Cambio Luigi Fontana et.al.","6th century, restored 1417",,"Conventual Franciscans",,"All Apostles","Roman Catholic Church","Holy Apostles","06 69 95 73 21",,,"06 69 95 71","Angelo Cardinal Scola","Titular church",
2964,"Santi Aquila e Priscilla","Via Pietro Blaserna 113",,,1992,,,,"Aquila and Priscilla","Roman Catholic","SS Aquila and Priscilla",,,,,,,
1934,"Santi Bartolomeo ed Alessandro dei Bergamaschi","Piazza Colonna",,,"18th century",,,,"Bartholomew the Apostle and Alexander of Bergamo","Roman Catholic","St Bartholomew of the People of Bergamo",,,,,,,
4638,"Santi Benedetto e Scolastica all'Argentina","Vicolo Sinibaldi 1",,,1625,,,,"Benedict and Scholastica","Roman Catholic","SS Benedict and Scholastica",,Benedetto_e_Scholastica.jpg,,,,,
1957,"Santi Celso e Giuliano","12 Vicolo del Curato / Via del Banco Santo Spirito","Carlo de Dominicis","Girolamo Batoni",,,,,"Celsus, Julian","Roman Catholic Church","SS Celsus and Julian",,,,,,,
4907,"Santi Cirillo e Metodio a Dragoncello","Via Osteria di Dragoncello 12",,,1997,,,,"Cyril and Methodius","Roman Catholic","SS Cyril and Methodius",,,,,,,
4886,"Santi Cirillo e Metodio a Villaggio Appio",,,,"Late 20th century",,,,"Cyril and Methodius","Roman Catholic","SS Cyril and Methodius at Appian Village",,,,,,,
4581,"Santi Claudio e Andrea dei Borgognoni","Via del Pozzetto 160",,,1731,,,,"Andrew and Claudius",Catholic,"Andrew and Claudius of the Burgundians",,Andrea_e_Claudio_dei_Borgognoni.jpg,,,,,
1907,"Santi Cosma e Damiano","Via dei Fori Imperiali 1 00186 Roma",,,,,"Friars of the Regular Third Order of St Francis",527,"Cosmas and Damian","Roman Catholic Church","SS Cosmas and Damian",,Cosmasdamian.1.JPG,-,06-69.20.441,"Beniamino Stella",,
2999,"Santi Crisante e Daria","Via Castignano 12",,,1980,,,,"Chrysanthus and Daria","Roman Catholic","SS Chrysanthus and Daria",,,,,,,
1973,"Santi Domenico e Sisto","1 Largo Angelicum00184 Roma","Giacomo della Porta, Carlo Maderno","Bernini, Enrico Haffner","1575 -1663",,"Dominican Order",,"St Dominic Guzman and Pope St Sixtus II","Roman Catholic Church","Saints Dominic and Sixtus",,,,"06 67 021","Georges Marie Martin Cottier","Titular church",
3186,"Santi Elisabetta e Zaccaria","Via di Valle Muricana 405",,,2009,,,,"Elizabeth and Zacharias, Parents of John the Baptist","Roman Catholic","SS Elizabeth and Zacharias",,,,,,,
4752,"Santi Fabiano e Venanzio","Via Terni 92",,,1936,,,,"Fabian and Venantius","Roman Catholic","SS Fabian and Venantius at Villa Fiorelli",,,,,,,
3015,"Santi Felicita e Figli Martiri","Via Don Giustino Maria Russolillo 37",,,2003,,,,"Felicity of Rome and her Seven Sons","Roman Catholic","St Felicity and Sons, Martyrs",,,,,,,
3212,"Santi Francesco e Caterina, Patroni d’Italia","Circonvallazione Gianicolense 12",,,1942,,,,"Francis of Assisi and Catherine of Siena","Roman Catholic","SS Francis and Catherine, Patrons of Italy",,,,,,,
1995,"Santi Gioacchino e Anna ai Monti","5 Via Monte Polacco 00184 Roma",,,1760,,Diocesan,1781,"SS Joachim and Anne","Roman Catholic Church","SS Joachim and Anne on the Hills",,,,"06 48 83 157",,,
3041,"Santi Gioacchino e Anna al Tuscolano","Via Bruno Rizzieri 120",,,1988,,,,"Joachim and Anne",Catholic,"SS Joachim and Anne at Tuscolano",,,,,,,
4500,"Santi Gioacchino e Anna alle Quattro Fontane","Via del Quirinale 24",,,,,,,"Joachim and Anne",Catholic,"Joachim and Anne at the Four Fountains",,Gioacchino_e_Anna_alle_Quattro_Fontane.jpg,,,,,
1998,"Santi Giovanni e Paolo","Piazza dei Santi Giovanni e Paolo 13   00184 Roma",,"Antoniazzo Romano, Giacomo Triga","4th century, restored several times",,Passionist,,,"Roman Catholic Church","Sts. John and Paul","06 77 27 14 55","San Giovanni e Paolo facade.JPG",,"06 77 27 11",(Vacant),"Titular church, Minor basilica",
1999,"Santi Giovanni e Petronio dei Bolognesi","Via del Mascherone 61",,,1581,,,,"John the Evangelist and Petronius of Bologna",Catholic,"John and Petronius of the Bolognese",,Giovanni-Batista_dei_Bolognesi.jpg,,,,,
3257,"Santi Giuseppe ed Orsola","Via Vittoria 5",,,1684,,,,"Joseph, Ursula","Roman Catholic","SS Joseph and Ursula",,,,,,,
3265,"Santi Ildefonso e Tommaso da Villanova","Via Sistina 11",,,,"Façade of the church",,,"Saints Ildefonsus of Toledo and Thomas of Villanova","Roman Catholic","Saints Ildefonsus and Thomas of Villanova",,2011_Ildefonso.jpg,,06-42.01.40.59,,,
3272,"Santi Isidoro ed Eurosia","Via delle Sette Chiese 101",,,1818,,,,"Isidore of Seville and Eurosia of Jaca","Roman Catholic","SS Isidore and Eurosia",,,,,,,
4458,"Santi Leonardo e Romualdo","Via della Lungara (north end)",,,"16th century",,,,"Leonard of Noblac, Romuald","Roman Catholic","SS Leonard and Romuald",,,,,,Demolished,
