cid,name,address,architect,artists,built,caption,clergy,consecrated,dedication,denomination,englishname,fax,image,national,phone,titular,type,url
4510,"Beato Nicola de Rupe","Via del Quirinale 30",,,1735,,,,"Nicholas von Flüe","Roman Catholic","Blessed Nicholas of the Crag",,,,,,Deconsecrated,
3651,"Beato Pier Giorgio Frassati","Via Giovanni Artusi 42",,,"Late 20th century",,,,"Pier Giorgio Frassati","Roman Catholic","Blessed Peter-George Frassati",,,,,,,
3679,"Beato Zefferino Gimènez Malla","Santuario della Madonna del Divino Amore",,,2004,,,,"Zephyrinus Gimenez Molla","Roman Catholic","Blessed Zephyrinus Gimenez Molla",,,,,,,
3160,"Buono e Perpetuo Soccorso","Via Merulana 170",,,1878,,,,"Blessed Virgin Mary (Our Lady's Help)","Roman Catholic","Good and Perpetual Help",,,,,,,
4948,"Cappella Molino","Via Ardeatina",,,"20th century",,,,?,"Roman Catholic","Windmill Chapel",,,,,,,
4731,"Cappella Paolina al Quirinale","Palazzo del Quirinale","Carlo Maderno",,1616,,,,"Blessed Virgin Mary (Assumption)","Roman Catholic","Pauline Chapel",,,,,,"Papal chapel",
1949,"Cappella Sistina","Vatican City","Giovannino dei Dolci(?)","Michelangelo et.al.",1473&ndash;1477,,,,"Blessed Virgin Mary (Assumption)","Roman Catholic","Sistine Chapel",,,,,,"Papal chapel",
5055,"Cappella dei Pamphilj","Viale del Maglio, Villa Doria Pamphilj",,,1902,,,,?,"Roman Catholic","Chapel of the Pamphilj",,,,,,,
4946,"Cappella del Casale della Falcognana di Sopra","Via Ardeatina 1491",,,"17th century",,,,?,"Roman Catholic","The Chapel at Upper Falcognana Farm",,,,,,,
4911,"Cappella del Pontificio Collegio Pio Brasiliano","Via Aurelia 527",,,1966,,,,?,"Roman Catholic","Chapel of the Pontifical Pious Brazilian College",,,,,,,
4914,"Cappella del Pontificio Collegio Scozzese","Via Cassia 481",,,1964,,,,?,"Roman Catholic","Chapel of the Pontifical Scots College",,,,,,,
5395,"Cappella della Compagnia della Regina dei Gigli","Viale Jonio 286",,,1972,,,,"Blessed Virgin Mary","Roman Catholic","Chapel of the Company of the Queen of the Lilies",,,,,,Deconsecrated,
3902,"Cappella di Reginald Pole","Via Appia Antica 57",,,"Mid 16th century",,,,?,"Roman Catholic","Chapel of Reginald Pole",,,,,,,
4657,"Casale di Perna, Cappella del","Via Valle di Perna 315",,,"18th century",,,,?,"Roman Catholic","Chapel of the Perna Farm",,,,,,Deconsecrated,
4765,"Catacombe di Priscilla","Via Salaria 430",,,"3rd century, 4th century, early 20th century",,,,"Priscilla, Pope Sylvester I","Roman Catholic","Catacombe di Priscilla",,,,,,,
4779,"Cenacolo Cuore di Gesù","Via dei Casali di Torrevecchia 11",,,"20th century",,,,"Sacred Heart","Roman Catholic","Cenacle, Sacred Heart of Jesus",,,,,,,
3676,"Chiesa Centrale della Università Cattolica del Sacro Cuore","Largo Francesco Vito 1",,,"20th century",,,,"Sacred Heart?","Roman Catholic","Central Church of the Catholic University of the Sacred Heart",,,,,,,
1960,"Chiesa Nuova","134 Via del Governo Vecchi (Piazza della Chiesa Nuova)","Giovanni Matteo da Città di Castello, Giacomo della Porta, Martino Longhi the Elder",,1575&ndash;1599,,,1599,"Gregory the Great and Blessed Virgin Mary","Roman Catholic","The New Church",,,,,,,
3734,"Chiesa della Sapienza","Piazzale Aldo Moro 1 (through gate, first left)",,,1948,,,,"Holy Wisdom","Roman Catholic","Wisdom, Church of",,,,,,,
3798,"Chiesa di Villa di Plinio","Viale della Villa di Plinio (the church is down a track leading north-east of the villa ruins)",,,"4-5th century",,,,Unknown,"Roman Catholic","Church of Villa of Pliny",,,,,,Ruined,
3290,"Corpus Christi alla Garbatella","Via Pomponia Grecina 31",,,"Mid 20th century",,,,"Jesus Christ (Corpus Christi)","Roman Catholic","Body of Christ at Garbatella",,,,,,,
3407,"Corpus Domini a Massimina","Via Giuseppe Vanni 53",,,"20th century",,,,"Jesus Christ (Corpus Christi)","Roman Catholic","Body of Christ at Massimina",,,,,,,
